<saosp;
OPERATING SYSTEM AREA

POS  ADDRESS                    VALUE  MEANING
426 111004 1200     7         H'049C  513 H'0000 H'0015 
426 111004 1200     7         H'049C  512 H'0002 H'0000 
426 111004 1200     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
423 111002 0111     7         H'049C  513 H'0000 H'001F 
423 111002 0111     7         H'049C  506 H'0000 H'00E1 
                                      506 H'0001 H'001C 
                                      506 H'0002 H'0144 
                                      506 H'0003 H'0000 
423 111002 0110     7         H'049C  512 H'0001 H'0001 
423 111002 0110     7         H'049C  513 H'0000 H'011F 
423 111002 0105     7         H'049C  509 H'0000 H'0000 
423 111002 0105     7         H'049C  512 H'0001 H'0000 
423 111002 0104     7         H'049C  513 H'0000 H'001F 
423 111002 0104     7         H'049C  506 H'0000 H'00ED 
                                      506 H'0001 H'001C 
                                      506 H'0002 H'010F 
                                      506 H'0003 H'0000 
423 111002 0104     7         H'049C  512 H'0001 H'0001 
423 111002 0104     7         H'049C  513 H'0000 H'00BE 
423 111002 0101     7         H'049C  509 H'0000 H'0000 
423 111002 0101     7         H'049C  512 H'0001 H'0000 
418 110928 1030     9         H'0006    0 H'0000 H'0000 
418 110928 1030     7         H'049C  513 H'0000 H'0014 
418 110928 1030     7         H'049C  512 H'0002 H'0000 
418 110928 1030     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
415 110926 1058     9         H'0006    0 H'0000 H'0000 
415 110926 1058     7         H'049C  513 H'0000 H'0014 
415 110926 1058     7         H'049C  512 H'0002 H'0000 
415 110926 1058     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
408 110920 1042     9         H'0006    0 H'0000 H'0000 
408 110920 1042     7         H'049C  513 H'0000 H'0014 
408 110920 1042     7         H'049C  512 H'0002 H'0000 
408 110920 1042     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
400 110913 1049     9         H'0006    0 H'0000 H'0000 
400 110913 1049     7         H'049C  513 H'0000 H'0015 
400 110913 1049     7         H'049C  512 H'0002 H'0000 
400 110913 1049     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
392 110906 1040     9         H'0006    0 H'0000 H'0000 
392 110906 1040     7         H'049C  513 H'0000 H'0015 
392 110906 1039     7         H'049C  512 H'0002 H'0000 
392 110906 1039     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
389 110904 0110     7         H'049C  513 H'0000 H'0020 
389 110904 0110     7         H'049C  506 H'0000 H'00F0 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'0145 
                                      506 H'0003 H'0000 
389 110904 0110     7         H'049C  512 H'0001 H'0001 
389 110904 0110     7         H'049C  513 H'0000 H'0118 
389 110904 0105     7         H'049C  509 H'0000 H'0000 
389 110904 0105     7         H'049C  512 H'0001 H'0000 
389 110904 0104     7         H'049C  513 H'0000 H'0020 
389 110904 0104     7         H'049C  506 H'0000 H'00E7 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'0149 
                                      506 H'0003 H'0000 
389 110904 0104     7         H'049C  512 H'0001 H'0001 
389 110904 0104     7         H'049C  513 H'0000 H'00C0 
389 110904 0101     7         H'049C  509 H'0000 H'0000 
389 110904 0101     7         H'049C  512 H'0001 H'0000 
376 110823 1351     9         H'0006    0 H'0000 H'0000 
376 110823 1351     7         H'049C  513 H'0000 H'0015 
376 110823 1351     7         H'049C  512 H'0002 H'0000 
376 110823 1350     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
375 110823 1335     9         H'0006    0 H'0000 H'0000 
375 110823 1335     7         H'049C  513 H'0000 H'0014 
375 110823 1334     7         H'049C  512 H'0002 H'0000 
375 110823 1334     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
367 110816 1050     9         H'0006    0 H'0000 H'0000 
367 110816 1050     7         H'049C  513 H'0000 H'0014 
367 110816 1050     7         H'049C  512 H'0002 H'0000 
367 110816 1050     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
361 110811 1041     9         H'0006    0 H'0000 H'0000 
361 110811 1041     7         H'049C  513 H'0000 H'0014 
361 110811 1041     7         H'049C  512 H'0002 H'0000 
361 110811 1041     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
356 110807 0111     7         H'049C  513 H'0000 H'0020 
356 110807 0111     7         H'049C  506 H'0000 H'00DF 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'00F3 
                                      506 H'0003 H'0000 
356 110807 0110     7         H'049C  512 H'0001 H'0001 
356 110807 0110     7         H'049C  513 H'0000 H'011C 
356 110807 0105     7         H'049C  509 H'0000 H'0000 
356 110807 0105     7         H'049C  512 H'0001 H'0000 
356 110807 0104     7         H'049C  513 H'0000 H'0020 
356 110807 0104     7         H'049C  506 H'0000 H'00DD 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'011F 
                                      506 H'0003 H'0000 
356 110807 0104     7         H'049C  512 H'0001 H'0001 
356 110807 0104     7         H'049C  513 H'0000 H'00C1 
356 110807 0101     7         H'049C  509 H'0000 H'0000 
356 110807 0101     7         H'049C  512 H'0001 H'0000 
351 110803 1516     9         H'0006    0 H'0000 H'0000 
351 110803 1516     7         H'049C  513 H'0000 H'0015 
351 110803 1516     7         H'049C  512 H'0002 H'0000 
351 110803 1515     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
343 110727 1055     9         H'0006    0 H'0000 H'0000 
343 110727 1055     7         H'049C  513 H'0000 H'0014 
343 110727 1055     7         H'049C  512 H'0002 H'0000 
343 110727 1055     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
335 110720 1131     9         H'0006    0 H'0000 H'0000 
335 110720 1131     7         H'049C  513 H'0000 H'0014 
335 110720 1131     7         H'049C  512 H'0002 H'0000 
335 110720 1131     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
328 110714 1106     9         H'0006    0 H'0000 H'0000 
328 110714 1106     7         H'049C  513 H'0000 H'0014 
328 110714 1105     7         H'049C  512 H'0002 H'0000 
328 110714 1105     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
318 110705 1125     9         H'0006    0 H'0000 H'0000 
318 110705 1125     7         H'049C  513 H'0000 H'0014 
318 110705 1125     7         H'049C  512 H'0002 H'0000 
318 110705 1125     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
315 110703 0111     7         H'049C  513 H'0000 H'0020 
315 110703 0111     7         H'049C  506 H'0000 H'00F2 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'00F7 
                                      506 H'0003 H'0000 
315 110703 0110     7         H'049C  512 H'0001 H'0001 
315 110703 0110     7         H'049C  513 H'0000 H'011E 
315 110703 0105     7         H'049C  509 H'0000 H'0000 
315 110703 0105     7         H'049C  512 H'0001 H'0000 
315 110703 0104     7         H'049C  513 H'0000 H'0020 
315 110703 0104     7         H'049C  506 H'0000 H'00E8 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'0114 
                                      506 H'0003 H'0000 
315 110703 0104     7         H'049C  512 H'0001 H'0001 
315 110703 0104     7         H'049C  513 H'0000 H'00C0 
315 110703 0101     7         H'049C  509 H'0000 H'0000 
315 110703 0101     7         H'049C  512 H'0001 H'0000 
311 110630 1131     9         H'0006    0 H'0000 H'0000 
311 110630 1131     7         H'049C  513 H'0000 H'0015 
311 110630 1130     7         H'049C  512 H'0002 H'0000 
311 110630 1130     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
308 110628 1405     9         H'0006    0 H'0000 H'0000 
308 110628 1405     7         H'049C  513 H'0000 H'0015 
308 110628 1405     7         H'049C  512 H'0002 H'0000 
308 110628 1405     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
307 110628 1356     9         H'0006    0 H'0000 H'0000 
307 110628 1356     7         H'049C  513 H'0000 H'0015 
307 110628 1356     7         H'049C  512 H'0002 H'0000 
307 110628 1356     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
300 110622 1044     9         H'0006    0 H'0000 H'0000 
300 110622 1044     7         H'049C  513 H'0000 H'0014 
300 110622 1044     7         H'049C  512 H'0002 H'0000 
300 110622 1044     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
293 110616 1050     9         H'0006    0 H'0000 H'0000 
293 110616 1050     7         H'049C  513 H'0000 H'0014 
293 110616 1050     7         H'049C  512 H'0002 H'0000 
293 110616 1050     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
289 110613 1731     9         H'0006    0 H'0000 H'0000 
289 110613 1731     7         H'049C  513 H'0000 H'0015 
289 110613 1730     7         H'049C  512 H'0002 H'0000 
289 110613 1730     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
288 110613 1724     9         H'0006    0 H'0000 H'0000 
288 110613 1724     7         H'049C  513 H'0000 H'0015 
288 110613 1723     7         H'049C  512 H'0002 H'0000 
288 110613 1723     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
284 110610 1103     9         H'0006    0 H'0000 H'0000 
284 110610 1103     7         H'049C  513 H'0000 H'0014 
284 110610 1103     7         H'049C  512 H'0002 H'0000 
284 110610 1103     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
279 110606 1714     9         H'0006    0 H'0000 H'0000 
279 110606 1714     7         H'049C  513 H'0000 H'0014 
279 110606 1714     7         H'049C  512 H'0002 H'0000 
279 110606 1714     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
278 110606 1653     9         H'0006    0 H'0000 H'0000 
278 110606 1653     7         H'049C  513 H'0000 H'0015 
278 110606 1653     7         H'049C  512 H'0002 H'0000 
278 110606 1653     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
276 110605 0111     7         H'049C  513 H'0000 H'0020 
276 110605 0111     7         H'049C  506 H'0000 H'00EA 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'0145 
                                      506 H'0003 H'0000 
276 110605 0110     7         H'049C  512 H'0001 H'0001 
276 110605 0110     7         H'049C  513 H'0000 H'011C 
276 110605 0105     7         H'049C  509 H'0000 H'0000 
276 110605 0105     7         H'049C  512 H'0001 H'0000 
276 110605 0104     7         H'049C  513 H'0000 H'0020 
276 110605 0104     7         H'049C  506 H'0000 H'00E7 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'011A 
                                      506 H'0003 H'0000 
276 110605 0104     7         H'049C  512 H'0001 H'0001 
276 110605 0104     7         H'049C  513 H'0000 H'00BE 
276 110605 0101     7         H'049C  509 H'0000 H'0000 
276 110605 0101     7         H'049C  512 H'0001 H'0000 
271 110601 1152     9         H'0006    0 H'0000 H'0000 
271 110601 1152     7         H'049C  513 H'0000 H'0015 
271 110601 1152     7         H'049C  512 H'0002 H'0000 
271 110601 1151     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
263 110525 1449     9         H'0006    0 H'0000 H'0000 
263 110525 1449     7         H'049C  513 H'0000 H'0014 
263 110525 1449     7         H'049C  512 H'0002 H'0000 
263 110525 1448     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
256 110519 1132     9         H'0006    0 H'0000 H'0000 
256 110519 1132     7         H'049C  513 H'0000 H'0015 
256 110519 1132     7         H'049C  512 H'0002 H'0000 
256 110519 1132     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
248 110512 1204     9         H'0006    0 H'0000 H'0000 
248 110512 1204     7         H'049C  513 H'0000 H'0015 
248 110512 1203     7         H'049C  512 H'0002 H'0000 
248 110512 1203     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
241 110506 1136     9         H'0006    0 H'0000 H'0000 
241 110506 1136     7         H'049C  513 H'0000 H'0015 
241 110506 1136     7         H'049C  512 H'0002 H'0000 
241 110506 1136     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
235 110501 0111     7         H'049C  513 H'0000 H'0020 
235 110501 0111     7         H'049C  506 H'0000 H'00EA 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'0105 
                                      506 H'0003 H'0000 
235 110501 0110     7         H'049C  512 H'0001 H'0001 
235 110501 0110     7         H'049C  513 H'0000 H'011A 
235 110501 0105     7         H'049C  509 H'0000 H'0000 
235 110501 0105     7         H'049C  512 H'0001 H'0000 
235 110501 0104     7         H'049C  513 H'0000 H'0020 
235 110501 0104     7         H'049C  506 H'0000 H'00E9 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'0134 
                                      506 H'0003 H'0000 
235 110501 0104     7         H'049C  512 H'0001 H'0001 
235 110501 0104     7         H'049C  513 H'0000 H'00BF 
235 110501 0101     7         H'049C  509 H'0000 H'0000 
235 110501 0101     7         H'049C  512 H'0001 H'0000 
232 110429 1136     9         H'0006    0 H'0000 H'0000 
232 110429 1136     7         H'049C  513 H'0000 H'0015 
232 110429 1136     7         H'049C  512 H'0002 H'0000 
232 110429 1136     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
225 110423 1108     9         H'0006    0 H'0000 H'0000 
225 110423 1108     7         H'049C  513 H'0000 H'0015 
225 110423 1108     7         H'049C  512 H'0002 H'0000 
225 110423 1108     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
214 110413 1524     9         H'0006    0 H'0000 H'0000 
214 110413 1524     7         H'049C  513 H'0000 H'0014 
214 110413 1524     7         H'049C  512 H'0002 H'0000 
214 110413 1524     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
206 110406 1436     9         H'0006    0 H'0000 H'0000 
206 110406 1436     7         H'049C  513 H'0000 H'0014 
206 110406 1436     7         H'049C  512 H'0002 H'0000 
206 110406 1436     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
205 110406 1009     9         H'0006    0 H'0000 H'0000 
205 110406 1009     7         H'049C  513 H'0000 H'0014 
205 110406 1009     7         H'049C  512 H'0002 H'0000 
205 110406 1009     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
201 110403 0111     7         H'049C  513 H'0000 H'0020 
201 110403 0111     7         H'049C  506 H'0000 H'00DE 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'00EB 
                                      506 H'0003 H'0000 
201 110403 0110     7         H'049C  512 H'0001 H'0001 
201 110403 0110     7         H'049C  513 H'0000 H'011B 
201 110403 0105     7         H'049C  509 H'0000 H'0000 
201 110403 0105     7         H'049C  512 H'0001 H'0000 
201 110403 0104     7         H'049C  513 H'0000 H'0020 
201 110403 0104     7         H'049C  506 H'0000 H'00E5 
                                      506 H'0001 H'001C 
                                      506 H'0002 H'012E 
                                      506 H'0003 H'0000 
201 110403 0104     7         H'049C  512 H'0001 H'0001 
201 110403 0104     7         H'049C  513 H'0000 H'00BF 
201 110403 0101     7         H'049C  509 H'0000 H'0000 
201 110403 0101     7         H'049C  512 H'0001 H'0000 
196 110330 1109     9         H'0006    0 H'0000 H'0000 
196 110330 1109     7         H'049C  513 H'0000 H'0014 
196 110330 1109     7         H'049C  512 H'0002 H'0000 
196 110330 1109     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
187 110322 1039     9         H'0006    0 H'0000 H'0000 
187 110322 1039     7         H'049C  513 H'0000 H'0014 
187 110322 1038     7         H'049C  512 H'0002 H'0000 
187 110322 1038     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
182 110318 1809     9         H'0006    0 H'0000 H'0000 
182 110318 1809     7         H'049C  513 H'0000 H'0015 
182 110318 1808     7         H'049C  512 H'0002 H'0000 
182 110318 1808     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
177 110314 1141     9         H'0006    0 H'0000 H'0000 
177 110314 1141     7         H'049C  513 H'0000 H'0014 
177 110314 1140     7         H'049C  512 H'0002 H'0000 
177 110314 1140     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
170 110308 1144     9         H'0006    0 H'0000 H'0000 
170 110308 1144     7         H'049C  513 H'0000 H'0014 
170 110308 1144     7         H'049C  512 H'0002 H'0000 
170 110308 1143     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
167 110306 0109     7         H'049C  513 H'0000 H'0020 
167 110306 0109     7         H'049C  506 H'0000 H'00E2 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'013D 
                                      506 H'0003 H'0000 
167 110306 0109     7         H'049C  512 H'0001 H'0001 
167 110306 0109     7         H'049C  513 H'0000 H'00C3 
167 110306 0105     7         H'049C  509 H'0000 H'0000 
167 110306 0105     7         H'049C  512 H'0001 H'0000 
167 110306 0104     7         H'049C  513 H'0000 H'0020 
167 110306 0104     7         H'049C  506 H'0000 H'00E7 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'0114 
                                      506 H'0003 H'0000 
167 110306 0104     7         H'049C  512 H'0001 H'0001 
167 110306 0104     7         H'049C  513 H'0000 H'00BF 
167 110306 0101     7         H'049C  509 H'0000 H'0000 
167 110306 0101     7         H'049C  512 H'0001 H'0000 
154 110222 1104     9         H'0006    0 H'0000 H'0000 
154 110222 1104     7         H'049C  513 H'0000 H'0015 
154 110222 1103     7         H'049C  512 H'0002 H'0000 
154 110222 1103     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
149 110218 1404     9         H'0006    0 H'0000 H'0000 
149 110218 1404     7         H'049C  513 H'0000 H'0014 
149 110218 1403     7         H'049C  512 H'0002 H'0000 
149 110218 1403     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
144 110214 1116     9         H'0006    0 H'0000 H'0000 
144 110214 1116     7         H'049C  513 H'0000 H'0014 
144 110214 1116     7         H'049C  512 H'0002 H'0000 
144 110214 1116     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
137 110208 1444     9         H'0006    0 H'0000 H'0000 
137 110208 1444     7         H'049C  513 H'0000 H'0014 
137 110208 1444     7         H'049C  512 H'0002 H'0000 
137 110208 1444     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
134 110206 0109     7         H'049C  513 H'0000 H'0020 
134 110206 0109     7         H'049C  506 H'0000 H'00E1 
                                      506 H'0001 H'001C 
                                      506 H'0002 H'0131 
                                      506 H'0003 H'0000 
134 110206 0109     7         H'049C  512 H'0001 H'0001 
134 110206 0109     7         H'049C  513 H'0000 H'00D1 
134 110206 0105     7         H'049C  509 H'0000 H'0000 
134 110206 0105     7         H'049C  512 H'0001 H'0000 
134 110206 0104     7         H'049C  513 H'0000 H'0020 
134 110206 0104     7         H'049C  506 H'0000 H'00E3 
                                      506 H'0001 H'001C 
                                      506 H'0002 H'0145 
                                      506 H'0003 H'0000 
134 110206 0104     7         H'049C  512 H'0001 H'0001 
134 110206 0104     7         H'049C  513 H'0000 H'00C0 
134 110206 0101     7         H'049C  509 H'0000 H'0000 
134 110206 0101     7         H'049C  512 H'0001 H'0000 
127 110131 1534     9         H'0006    0 H'0000 H'0000 
127 110131 1534     7         H'049C  513 H'0000 H'0014 
127 110131 1533     7         H'049C  512 H'0002 H'0000 
127 110131 1533     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
122 110127 1114     9         H'0006    0 H'0000 H'0000 
122 110127 1114     7         H'049C  513 H'0000 H'0015 
122 110127 1114     7         H'049C  512 H'0002 H'0000 
122 110127 1114     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
112 110118 2252     9         H'0006    0 H'0000 H'0000 
112 110118 2252     7         H'049C  513 H'0000 H'0014 
112 110118 2252     7         H'049C  512 H'0002 H'0000 
112 110118 2252     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
111 110118 2251     9         H'0006    0 H'0000 H'0000 
111 110118 2251     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      332 H'0000 H'0002 
                                      310 H'0000 H'0000 
110 110118 2215     9         H'0006    0 H'0000 H'0000 
110 110118 2215     7         H'049C  513 H'0000 H'0015 
110 110118 2214     7         H'049C  512 H'0002 H'0000 
110 110118 2214     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
108 110117 1257     9         H'0006    0 H'0000 H'0000 
108 110117 1257     7         H'049C  513 H'0000 H'0014 
108 110117 1257     7         H'049C  512 H'0002 H'0000 
108 110117 1257     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
102 110112 1058     9         H'0006    0 H'0000 H'0000 
102 110112 1058     7         H'049C  513 H'0000 H'0015 
102 110112 1058     7         H'049C  512 H'0002 H'0000 
102 110112 1057     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
 93 110104 2127     7         H'049C  513 H'0000 H'0015 
 93 110104 2127     7         H'049C  512 H'0003 H'0000 
 92 110104 2121     7         H'049C  513 H'0000 H'0015 
 92 110104 2121     7         H'049C  512 H'0003 H'0000 
 91 110104 1937     9         H'0006    0 H'0000 H'0000 
 91 110104 1937     7         H'049C  513 H'0000 H'0015 
 91 110104 1937     7         H'049C  512 H'0002 H'0000 
 91 110104 1937     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
 90 110104 1232     9         H'0006    0 H'0000 H'0000 
 90 110104 1232     7         H'049C  513 H'0000 H'0014 
 90 110104 1231     7         H'049C  512 H'0002 H'0000 
 90 110104 1231     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
 87 110102 0111     7         H'049C  513 H'0000 H'0020 
 87 110102 0111     7         H'049C  506 H'0000 H'00E2 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'0142 
                                      506 H'0003 H'0000 
 87 110102 0110     7         H'049C  512 H'0001 H'0001 
 87 110102 0110     7         H'049C  513 H'0000 H'0119 
 87 110102 0105     7         H'049C  509 H'0000 H'0000 
 87 110102 0105     7         H'049C  512 H'0001 H'0000 
 87 110102 0104     7         H'049C  513 H'0000 H'001F 
 87 110102 0104     7         H'049C  506 H'0000 H'00E4 
                                      506 H'0001 H'001C 
                                      506 H'0002 H'0108 
                                      506 H'0003 H'0000 
 87 110102 0104     7         H'049C  512 H'0001 H'0001 
 87 110102 0104     7         H'049C  513 H'0000 H'00C0 
 87 110102 0101     7         H'049C  509 H'0000 H'0000 
 87 110102 0101     7         H'049C  512 H'0001 H'0000 
 83 101230 1153     9         H'0006    0 H'0000 H'0000 
 83 101230 1153     7         H'049C  513 H'0000 H'0014 
 83 101230 1152     7         H'049C  512 H'0002 H'0000 
 83 101230 1152     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
 79 101227 1127     9         H'0006    0 H'0000 H'0000 
 79 101227 1127     7         H'049C  513 H'0000 H'0014 
 79 101227 1127     7         H'049C  512 H'0002 H'0000 
 79 101227 1127     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
 73 101222 1208     9         H'0006    0 H'0000 H'0000 
 73 101222 1208     7         H'049C  513 H'0000 H'0015 
 73 101222 1207     7         H'049C  512 H'0002 H'0000 
 73 101222 1207     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
 70 101220 1524     9         H'0006    0 H'0000 H'0000 
 70 101220 1524     7         H'049C  513 H'0000 H'0014 
 70 101220 1524     7         H'049C  512 H'0002 H'0000 
 70 101220 1524     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
 65 101216 1552     9         H'0006    0 H'0000 H'0000 
 65 101216 1552     7         H'049C  513 H'0000 H'0014 
 65 101216 1552     7         H'049C  512 H'0002 H'0000 
 65 101216 1552     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
 63 101216 0105     9         H'0006    0 H'0000 H'0000 
 63 101216 0105     7         H'049C  513 H'0000 H'0014 
 63 101216 0105     7         H'049C  512 H'0002 H'0000 
 63 101216 0105     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
 61 101215 2349     7         H'049C  513 H'0000 H'0015 
 61 101215 2348     7         H'049C  512 H'0003 H'0000 
 60 101215 2343     7         H'049C  513 H'0000 H'0015 
 60 101215 2343     7         H'049C  512 H'0003 H'0000 
 59 101215 1610     9         H'0006    0 H'0000 H'0000 
 59 101215 1610     7         H'049C  513 H'0000 H'0016 
 59 101215 1610     7         H'049C  512 H'0002 H'0000 
 59 101215 1610     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
 57 101214 1631     9         H'0006    0 H'0000 H'0000 
 57 101214 1631     7         H'049C  513 H'0000 H'0015 
 57 101214 1631     7         H'049C  512 H'0002 H'0000 
 57 101214 1631     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
 55 101213 1119     9         H'0006    0 H'0000 H'0000 
 55 101213 1119     7         H'049C  513 H'0000 H'0016 
 55 101213 1118     7         H'049C  512 H'0002 H'0000 
 55 101213 1118     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
 49 101208 1616     9         H'0006    0 H'0000 H'0000 
 49 101208 1616     7         H'049C  513 H'0000 H'0015 
