<saosp;
OPERATING SYSTEM AREA

POS  ADDRESS                    VALUE  MEANING
103  H'0000 001800DE              768  SYSTEM VARIABLE TABLE SIZE W32
104  H'0000 001800E0        H'18 8A60  SYSTEM VARIABLE TABLE
                                       RS START ADDRESS W32
105  H'0000 001800E2           524288  INSTRUCTION TRACE ADDRESS TABLE
                                       SIZE W32
106  H'0000 001800E4        H'10 0010  INSTRUCTION TRACE ADDRESS TABLE
                                       RS START ADDRESS W32
107  H'0000 001800E6              H'2  MEMORY LAYOUT VERSION
108  H'0000 001800E8                0  SPARE
109  H'0000 001800EA                0  SPARE
110  H'0000 001800EC                0  SPARE
111  H'0000 001800EE                0  SPARE
112  H'0000 001800F0                0  SPARE
113  H'0000 001800F2                0  SPARE
114  H'0000 001800F4                0  SPARE
115  H'0000 001800F6                0  SPARE
116  H'0000 001800F8                0  SPARE
117  H'0000 001800FA                0  SPARE
118  H'0000 001800FC                0  SPARE
119  H'0000 001800FE                0  SPARE
120  H'0000 00180100                0  SPARE
121  H'0000 00180102                0  SPARE
122  H'0000 00180104                0  SPARE
123  H'0000 00180106                0  SPARE
124  H'0000 00180108                0  SPARE
125  H'0000 0018010A                0  SPARE
126  H'0000 0018010C                0  SPARE
127  H'0000 0018010E                0  SPARE

END

<syrip:survey;
ORDERED

<
COMMAND SESSION SUSPENDED

SOFTWARE RECOVERY SURVEY

EVENT TYPE          EXPLANATION                         EVENTCNT  FRDEL
   62 FORLOPP       DYN BUFFER, PR1=0 OR IR TOO LARGE                 1
   60 APPLERR       ERROR REPORTED BY PROCEDURE FLERROR        2 
   51 FORLOPP       TIMEOUT AT FORLOPP AUDIT & FLERROR                0
   50 APPLERR       ERROR REPORTED BY PROCEDURE FLERROR          
   37 APPLERR       ERROR REPORTED BY PROCEDURE FLERROR        2 
   29 APPLERR       ERROR REPORTED BY PROCEDURE FLERROR        3 
   26 APPLERR       ERROR REPORTED BY PROCEDURE FLERROR        2 
   17 APPLERR       ERROR REPORTED BY PROCEDURE FLERROR        2 
    7 FORLOPP       NO SIGNAL ENTRY IN BLOCK                          1
    4 APPLERR       ERROR REPORTED BY PROCEDURE FLERROR        5 
   35 FORLOPP       MANUALLY INITIATED FORLOPP RELEASE                0
   30 APPLERR       ERROR REPORTED BY PROCEDURE FLERROR       23 
   16 RELOAD        PROGRAM HANDLING ERROR                       

EVENT CODE   INF1   INF2   INF3   INF4   SIDE STATE  DATE   TIME ACTIVE
   62 H'0020 H'08E9 H'0DF8 H'0000 H'0000 A-EX NORMAL 120110 1036 NO
   60 H'4301 H'F203 H'032E H'0003 H'A05C A-EX NORMAL 120102 1107 NO
   51 H'310D H'6C02 H'41C3 H'08AE H'0086 A-EX NORMAL 111018 2051 NO
   50 H'4301 H'6C02 H'41C3 H'0000 H'7032 A-EX NORMAL 111018 2035 NO
   37 H'4301 H'EA08 H'0452 H'0002 H'9358 A-EX NORMAL 110819 1311 NO
   29 H'4301 H'1305 H'2F1C H'0000 H'B24D A-EX NORMAL 110722 2228 NO
   26 H'4301 H'1305 H'2F1C H'0001 H'520C A-EX NORMAL 110721 1209 NO
   17 H'4301 H'1305 H'2F1C H'0004 H'D674 A-EX NORMAL 110617 2137 NO
    7 H'0210 H'026C H'4D79 H'5F02 H'025C A-EX NORMAL 110505 0954 NO
    4 H'4301 H'1305 H'2F1C H'0005 H'46B8 A-EX NORMAL 110429 0305 NO
   35 H'310C H'0000 H'0144 H'0001 H'0000 A-EX NORMAL 101007 2344 NO
   30 H'4300 H'B709 H'0401 H'0000 H'0000 A    SINGLE 100913 1224 NO
   16 H'9000 H'0000 H'0000 H'0000 H'0000 A-EX NORMAL 100731 1739 NO

END



 RECONN EXECUTED
<dircp;
ORDERED

<
COMMAND SESSION SUSPENDED

CP EVENT RECORD 

NO  DATE   TIME ETYPE ACT REP BNR    CODE INF1   INF2   DINO          
578 120206 0100     8         H'049D  106 H'0001 H'0000      
577 120205 0111     7         H'049C  513 H'0000 H'0020 
577 120205 0111     7         H'049C  506 H'0000 H'00E7 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'00FB 
                                      506 H'0003 H'0000 
577 120205 0111     8         H'04A2  800 H'0001 H'0000      
577 120205 0110     7         H'049C  512 H'0001 H'0001 
577 120205 0110     7         H'049C  513 H'0000 H'011C 
577 120205 0105     7         H'049C  509 H'0000 H'0000 
577 120205 0105     7         H'049C  512 H'0001 H'0000 
577 120205 0104     7         H'049C  513 H'0000 H'0020 
577 120205 0104     7         H'049C  506 H'0000 H'00E6 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'00E8 
                                      506 H'0003 H'0000 
577 120205 0104     7         H'049C  512 H'0001 H'0001 
577 120205 0104     7         H'049C  513 H'0000 H'00C3 
577 120205 0101     7         H'049C  509 H'0000 H'0000 
577 120205 0101     7         H'049C  512 H'0001 H'0000 
576 120205 0100     8         H'049D  106 H'0001 H'0000      
575 120204 0100     8         H'049D  106 H'0001 H'0000      
574 120203 0100     8         H'049D  106 H'0001 H'0000      
573 120202 0100     8         H'049D  106 H'0001 H'0000      
572 120201 0100     8         H'049D  106 H'0001 H'0000      
571 120131 1132     9         H'0006    0 H'0000 H'0000 
571 120131 1132     7         H'049C  513 H'0000 H'0015 
571 120131 1131     7         H'049C  512 H'0002 H'0000 
571 120131 1131     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
570 120131 0100     8         H'049D  106 H'0001 H'0000      
569 120130 0100     8         H'049D  106 H'0001 H'0000      
568 120129 0100     8         H'049D  106 H'0001 H'0000      
567 120128 0100     8         H'049D  106 H'0001 H'0000      
566 120127 0100     8         H'049D  106 H'0001 H'0000      
565 120126 0100     8         H'049D  106 H'0001 H'0000      
564 120125 0100     8         H'049D  106 H'0001 H'0000      
563 120124 0100     8         H'049D  106 H'0001 H'0000      
562 120123 0828     9         H'0006    0 H'0000 H'0000 
562 120123 0828     7         H'049C  513 H'0000 H'0016 
562 120123 0828     7         H'049C  512 H'0002 H'0000 
562 120123 0828     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
561 120123 0100     8         H'049D  106 H'0001 H'0000      
560 120122 0100     8         H'049D  106 H'0001 H'0000      
559 120121 0100     8         H'049D  106 H'0001 H'0000      
558 120120 0100     8         H'049D  106 H'0001 H'0000      
557 120119 0100     8         H'049D  106 H'0001 H'0000      
556 120118 1244     9         H'0006    0 H'0000 H'0000 
556 120118 1244     7         H'049C  513 H'0000 H'0015 
556 120118 1243     7         H'049C  512 H'0002 H'0000 
556 120118 1243     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
555 120118 0100     8         H'049D  106 H'0001 H'0000      
554 120117 0917     9         H'0006    0 H'0000 H'0000 
554 120117 0917     7         H'049C  513 H'0000 H'0015 
554 120117 0916     7         H'049C  512 H'0002 H'0000 
554 120117 0916     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
553 120117 0100     8         H'049D  106 H'0001 H'0000      
552 120116 0100     8         H'049D  106 H'0001 H'0000      
551 120115 0100     8         H'049D  106 H'0001 H'0000      
550 120114 0100     8         H'049D  106 H'0001 H'0000      
549 120113 0100     8         H'049D  106 H'0001 H'0000      
548 120112 0100     8         H'049D  106 H'0001 H'0000      
547 120111 0100     8         H'049D  106 H'0001 H'0000      
546 120110 1214     9         H'0006    0 H'0000 H'0000 
546 120110 1214     7         H'049C  513 H'0000 H'0014 
546 120110 1214     7         H'049C  512 H'0002 H'0000 
546 120110 1214     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
545 120110 1129     9         H'0006    0 H'0000 H'0000 
545 120110 1129     7         H'049C  513 H'0000 H'0015 
545 120110 1129     7         H'049C  512 H'0002 H'0000 
545 120110 1129     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
544 120110 0100     8         H'049D  106 H'0001 H'0000      
543 120109 0100     8         H'049D  106 H'0001 H'0000      
542 120108 0100     8         H'049D  106 H'0001 H'0000      
541 120107 0100     8         H'049D  106 H'0001 H'0000      
540 120106 0100     8         H'049D  106 H'0001 H'0000      
539 120105 1549     9         H'0006    0 H'0000 H'0000 
539 120105 1549     7         H'049C  513 H'0000 H'0015 
539 120105 1549     7         H'049C  512 H'0002 H'0000 
539 120105 1549     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
538 120105 0111     7         H'049C  513 H'0000 H'0020 
538 120105 0111     7         H'049C  506 H'0000 H'00E1 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'00E5 
                                      506 H'0003 H'0000 
538 120105 0111     8         H'04A2  800 H'0001 H'0000      
538 120105 0110     7         H'049C  512 H'0001 H'0001 
538 120105 0110     7         H'049C  513 H'0000 H'011C 
538 120105 0105     7         H'049C  509 H'0000 H'0000 
538 120105 0105     7         H'049C  512 H'0001 H'0000 
538 120105 0104     7         H'049C  513 H'0000 H'0020 
538 120105 0104     7         H'049C  506 H'0000 H'00E4 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'0113 
                                      506 H'0003 H'0000 
538 120105 0104     7         H'049C  512 H'0001 H'0001 
538 120105 0104     7         H'049C  513 H'0000 H'00C0 
538 120105 0101     7         H'049C  509 H'0000 H'0000 
538 120105 0101     7         H'049C  512 H'0001 H'0000 
537 120105 0100     8         H'049D  106 H'0001 H'0000      
536 120104 1230     9         H'0006    0 H'0000 H'0000 
536 120104 1230     7         H'049C  513 H'0000 H'0015 
536 120104 1229     7         H'049C  512 H'0002 H'0000 
536 120104 1229     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
535 120104 1213     9         H'0006    0 H'0000 H'0000 
535 120104 1213     7         H'049C  513 H'0000 H'0015 
535 120104 1212     7         H'049C  512 H'0002 H'0000 
535 120104 1212     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
534 120104 0100     8         H'049D  106 H'0001 H'0000      
533 120103 0100     8         H'049D  106 H'0001 H'0000      
532 120102 0100     8         H'049D  106 H'0001 H'0000      
531 120101 0100     8         H'049D  106 H'0001 H'0000      
530 111231 0100     8         H'049D  106 H'0001 H'0000      
529 111230 2306     9         H'0006    0 H'0000 H'0000 
529 111230 2306     7         H'049C  513 H'0000 H'0015 
529 111230 2305     7         H'049C  512 H'0002 H'0000 
529 111230 2305     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
528 111230 0100     8         H'049D  106 H'0001 H'0000      
527 111229 0100     8         H'049D  106 H'0001 H'0000      
526 111228 1655     9         H'0006    0 H'0000 H'0000 
526 111228 1655     7         H'049C  513 H'0000 H'0015 
526 111228 1655     7         H'049C  512 H'0002 H'0000 
526 111228 1655     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
525 111228 1548     9         H'0006    0 H'0000 H'0000 
525 111228 1548     7         H'049C  513 H'0000 H'0015 
525 111228 1548     7         H'049C  512 H'0002 H'0000 
525 111228 1548     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
524 111228 0100     8         H'049D  106 H'0001 H'0000      
523 111227 0100     8         H'049D  106 H'0001 H'0000      
522 111226 0100     8         H'049D  106 H'0001 H'0000      
521 111225 0100     8         H'049D  106 H'0001 H'0000      
520 111224 0100     8         H'049D  106 H'0001 H'0000      
519 111223 0100     8         H'049D  106 H'0001 H'0000      
518 111222 0100     8         H'049D  106 H'0001 H'0000      
517 111221 0100     8         H'049D  106 H'0001 H'0000      
516 111220 1104     9         H'0006    0 H'0000 H'0000 
516 111220 1104     7         H'049C  513 H'0000 H'0015 
516 111220 1103     7         H'049C  512 H'0002 H'0000 
516 111220 1103     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
515 111220 0100     8         H'049D  106 H'0001 H'0000      
514 111219 0100     8         H'049D  106 H'0001 H'0000      
513 111218 0100     8         H'049D  106 H'0001 H'0000      
512 111217 0100     8         H'049D  106 H'0001 H'0000      
511 111216 0100     8         H'049D  106 H'0001 H'0000      
510 111215 0100     8         H'049D  106 H'0001 H'0000      
509 111214 0100     8         H'049D  106 H'0001 H'0000      
508 111213 1522     9         H'0006    0 H'0000 H'0000 
508 111213 1522     7         H'049C  513 H'0000 H'0015 
508 111213 1522     7         H'049C  512 H'0002 H'0000 
508 111213 1522     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
507 111213 0100     8         H'049D  106 H'0001 H'0000      
506 111212 0100     8         H'049D  106 H'0001 H'0000      
505 111211 0100     8         H'049D  106 H'0001 H'0000      
504 111210 0100     8         H'049D  106 H'0001 H'0000      
503 111209 0100     8         H'049D  106 H'0001 H'0000      
502 111208 0100     8         H'049D  106 H'0001 H'0000      
501 111207 1032     9         H'0006    0 H'0000 H'0000 
501 111207 1032     7         H'049C  513 H'0000 H'0014 
501 111207 1032     7         H'049C  512 H'0002 H'0000 
501 111207 1032     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
500 111207 0100     8         H'049D  106 H'0001 H'0000      
499 111206 0100     8         H'049D  106 H'0001 H'0000      
498 111205 0100     8         H'049D  106 H'0001 H'0000      
497 111204 0111     7         H'049C  513 H'0000 H'0020 
497 111204 0111     7         H'049C  506 H'0000 H'00E0 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'00F9 
                                      506 H'0003 H'0000 
497 111204 0111     8         H'04A2  800 H'0001 H'0000      
497 111204 0110     7         H'049C  512 H'0001 H'0001 
497 111204 0110     7         H'049C  513 H'0000 H'011B 
497 111204 0105     7         H'049C  509 H'0000 H'0000 
497 111204 0105     7         H'049C  512 H'0001 H'0000 
497 111204 0104     7         H'049C  513 H'0000 H'0020 
497 111204 0104     7         H'049C  506 H'0000 H'00E9 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'00F2 
                                      506 H'0003 H'0000 
497 111204 0104     7         H'049C  512 H'0001 H'0001 
497 111204 0104     7         H'049C  513 H'0000 H'00BF 
497 111204 0101     7         H'049C  509 H'0000 H'0000 
497 111204 0101     7         H'049C  512 H'0001 H'0000 
496 111204 0100     8         H'049D  106 H'0001 H'0000      
495 111203 0100     8         H'049D  106 H'0001 H'0000      
494 111202 0100     8         H'049D  106 H'0001 H'0000      
493 111201 0100     8         H'049D  106 H'0001 H'0000      
492 111130 0100     8         H'049D  106 H'0001 H'0000      
491 111129 1020     9         H'0006    0 H'0000 H'0000 
491 111129 1020     7         H'049C  513 H'0000 H'0014 
491 111129 1019     7         H'049C  512 H'0002 H'0000 
491 111129 1019     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
490 111129 0100     8         H'049D  106 H'0001 H'0000      
489 111128 0100     8         H'049D  106 H'0001 H'0000      
